mean_freq,min_freq,max_freq,count_freq,count_proj,band_min,band_max,band_mode,width
345.98133333333334,343.13,350.435,15,7,7,7,7.0,7.305000000000007
111.76724999999999,105.89,115.275,20,7,3,3,3.0,9.385000000000005
91.82309523809525,84.745,102.975,42,10,3,3,3.0,18.22999999999999
223.6899642857143,213.075,246.4,140,24,6,6,6.0,33.32500000000002
173.51999999999998,172.67,174.39,3,1,5,5,5.0,1.7199999999999989
688.4475,685.43,691.465,2,1,9,9,9.0,6.035000000000082
154.5275,154.215,154.885,4,1,4,4,4.0,0.6699999999999875
143.89076923076922,138.18,150.495,13,2,4,4,4.0,12.314999999999998
250.4525,239.755,267.565,44,9,6,6,6.0,27.810000000000002
186.107,185.44,187.39,5,1,5,5,5.0,1.9499999999999886
491.84916666666663,489.74,493.98,6,3,8,8,8.0,4.240000000000009
333.5882,329.32,337.39,25,8,7,7,7.0,8.069999999999993
100.04558252427184,85.68,115.275,103,10,3,3,3.0,29.595
223.37682965299686,213.01,236.455,317,41,6,6,6.0,23.44500000000002
353.48823529411766,341.485,372.865,85,18,7,7,7.0,31.379999999999995
479.9971428571429,477.49,481.905,7,3,8,8,8.0,4.414999999999964
188.96666666666667,153.81,259.8,6,2,4,6,4.666666666666667,105.99000000000001
219.45666666666668,218.285,220.46,3,1,6,6,6.0,2.1750000000000114
230.84045454545455,225.58,236.13,11,3,6,6,6.0,10.549999999999983
100.53055555555555,97.98,103.76,9,3,3,3,3.0,5.780000000000001
343.795,338.895,347.07,12,4,7,7,7.0,8.175000000000011
144.6125,144.61,144.615,2,1,4,4,4.0,0.0049999999999954525
243.88250000000002,240.255,249.955,12,3,6,6,6.0,9.700000000000017
107.99000000000001,107.865,108.22,3,1,3,3,3.0,0.355000000000004
95.62271186440678,84.43,115.305,59,11,3,3,3.0,30.875
354.191875,350.69,359.115,16,5,7,7,7.0,8.425000000000011
460.28900000000004,458.61,462.055,10,1,8,8,8.0,3.444999999999993
579.853125,492.15,691.48,8,5,8,9,8.5,199.33000000000004
103.4375,102.5,104.375,2,1,3,3,3.0,1.875
482.125,482.125,482.125,1,1,8,8,8.0,0.0
268.7375,267.54,269.935,2,1,6,6,6.0,2.394999999999982
337.23249999999996,337.065,337.4,2,1,7,7,7.0,0.33499999999997954
280.60875,279.505,281.71,4,1,7,7,7.0,2.204999999999984
94.14142857142858,90.5,96.74,7,3,3,3,3.0,6.239999999999995
250.84499999999997,250.315,251.83,5,1,6,6,6.0,1.5150000000000148
109.0425,108.735,109.27,6,2,3,3,3.0,0.5349999999999966
147.74857142857144,140.3,155.505,14,1,4,4,4.0,15.204999999999984
176.53041666666664,174.95,178.2,12,2,5,5,5.0,3.25
233.29132352941176,216.11,261.25,136,20,6,6,6.0,45.139999999999986
333.6330263157895,291.895,356.725,38,12,7,7,7.0,64.83000000000004
814.7049999999999,806.29,823.12,8,1,10,10,10.0,16.83000000000004
135.305,134.01,136.545,4,2,4,4,4.0,2.5349999999999966
336.008,334.16,337.065,5,2,7,7,7.0,2.9049999999999727
460.3725,459.7,461.045,2,1,8,8,8.0,1.3450000000000273
154.81166666666667,154.215,156.0,3,2,4,4,4.0,1.7849999999999966
257.4,253.96,261.275,20,6,6,6,6.0,7.314999999999969
242.4484,238.22,248.0,25,7,6,6,6.0,9.780000000000001
268.48625,265.875,271.97,16,4,6,6,6.0,6.095000000000027
94.00854838709678,85.45,115.32,341,48,3,3,3.0,29.86999999999999
145.789375,143.61,147.555,8,4,4,4,4.0,3.944999999999993
224.5190648854962,215.2,234.975,262,33,6,6,6.0,19.775000000000006
327.9816814159292,275.845,372.67,113,18,7,7,7.0,96.82499999999999
133.48250000000002,132.55,134.415,2,1,4,4,4.0,1.8649999999999807
156.0375,152.935,159.115,4,2,4,4,4.0,6.180000000000007
305.1075,304.12,306.095,2,1,7,7,7.0,1.9750000000000227
298.54999999999995,297.58,299.52,2,1,7,7,7.0,1.9399999999999977
89.43,85.495,93.285,6,2,3,3,3.0,7.789999999999992
317.1125,316.17,318.055,2,1,7,7,7.0,1.884999999999991
102.52499999999999,100.905,105.285,6,2,3,3,3.0,4.3799999999999955
108.64618421052633,96.165,115.29,38,8,3,3,3.0,19.125
144.42333333333332,140.935,146.925,6,2,4,4,4.0,5.990000000000009
224.46892857142856,217.04,231.17,42,5,6,6,6.0,14.129999999999995
344.75714285714287,285.515,355.285,21,4,7,7,7.0,69.77000000000004
242.6325,241.0,243.87,8,2,6,6,6.0,2.8700000000000045
425.86999999999995,320.63,479.415,6,3,7,8,7.666666666666667,158.78500000000003
212.95,212.05,213.85,2,1,6,6,6.0,1.799999999999983
109.72916666666667,105.29,114.95,6,2,3,3,3.0,9.659999999999997
242.74,240.515,244.705,4,2,6,6,6.0,4.190000000000026
483.8075,483.745,483.87,2,1,8,8,8.0,0.125
490.65,489.6,491.46,4,2,8,8,8.0,1.8599999999999568
339.9066666666667,339.47,340.245,3,1,7,7,7.0,0.7749999999999773
92.90295454545455,85.275,99.27,22,4,3,3,3.0,13.99499999999999
141.179375,133.795,146.97,8,1,4,4,4.0,13.175000000000011
245.49166666666665,217.845,268.135,42,7,6,6,6.0,50.28999999999999
350.92970588235295,342.88,357.205,17,3,7,7,7.0,14.324999999999989
136.465,136.465,136.465,1,1,4,4,4.0,0.0
355.04125,352.63,357.51,4,1,7,7,7.0,4.8799999999999955
146.265,145.56,146.97,2,1,4,4,4.0,1.4099999999999966
343.118,340.59,345.465,5,1,7,7,7.0,4.875
619.40875,612.455,625.95,4,1,9,9,9.0,13.495000000000005
90.945,90.91,90.98,2,1,3,3,3.0,0.07000000000000739
154.923,153.135,156.66,5,1,4,4,4.0,3.5250000000000057
93.68566666666668,86.255,100.275,30,7,3,3,3.0,14.02000000000001
222.0284375,213.075,234.075,48,9,6,6,6.0,21.0
356.4973684210526,349.425,363.785,19,1,7,7,7.0,14.360000000000014
536.9965,330.54,695.01,10,3,7,9,8.2,364.46999999999997
90.5425,88.625,93.16,4,1,3,3,3.0,4.534999999999997
252.14375,250.69,253.665,4,1,6,6,6.0,2.9749999999999943
100.6809090909091,97.975,104.605,11,5,3,3,3.0,6.63000000000001
244.0,241.985,246.59,6,3,6,6,6.0,4.60499999999999
226.45300000000003,224.64,227.985,5,2,6,6,6.0,3.3450000000000273
86.228,85.64,86.845,10,3,3,3,3.0,1.2049999999999983
356.9675,356.015,357.935,6,3,7,7,7.0,1.920000000000016
113.38035714285715,112.685,114.56,14,5,3,3,3.0,1.875
135.46214285714285,130.71,140.86,7,1,4,4,4.0,10.150000000000006
227.3377102803738,212.505,268.13,107,17,6,6,6.0,55.625
345.106875,343.935,345.83,8,4,7,7,7.0,1.8949999999999818
297.85,284.605,311.095,4,1,7,7,7.0,26.49000000000001
331.0025,330.295,331.71,2,1,7,7,7.0,1.4149999999999636
130.49,129.575,131.405,2,1,4,4,4.0,1.8300000000000125
213.425,212.595,214.59,4,2,6,6,6.0,1.9950000000000045
249.18535714285713,240.58,255.385,14,5,6,6,6.0,14.804999999999978
114.675,113.135,115.285,4,3,3,3,3.0,2.1499999999999915
142.3625,141.445,143.28,2,1,4,4,4.0,1.835000000000008
97.891,85.105,111.205,45,6,3,3,3.0,26.099999999999994
224.20445945945949,216.91,235.35,37,9,6,6,6.0,18.439999999999998
354.379,343.695,369.505,5,3,7,7,7.0,25.810000000000002
265.4315,261.69,271.385,10,2,6,6,6.0,9.694999999999993
346.27375,338.195,351.76,4,2,7,7,7.0,13.564999999999998
691.44,691.44,691.44,1,1,9,9,9.0,0.0
92.7333870967742,85.895,111.025,31,4,3,3,3.0,25.13000000000001
142.3875581395349,129.665,159.96,43,4,4,4,4.0,30.295000000000016
236.55353146853147,213.12,264.27,143,14,6,6,6.0,51.14999999999998
683.1016666666666,645.525,713.31,6,1,9,9,9.0,67.78499999999997
818.491875,807.515,829.47,8,1,10,10,10.0,21.95500000000004
484.62874999999997,477.62,491.505,4,1,8,8,8.0,13.884999999999991
181.4325,176.525,186.34,2,1,5,5,5.0,9.814999999999998
95.6265,88.26,101.695,10,2,3,3,3.0,13.434999999999988
245.7922641509434,214.37,271.975,53,8,6,6,6.0,57.60500000000002
326.92371212121213,294.995,363.77,66,7,7,7,7.0,68.77499999999998
372.535,372.405,372.665,4,1,7,7,7.0,0.26000000000004775
692.3875,689.97,694.97,4,1,9,9,9.0,5.0
90.61071428571428,86.005,93.17,7,3,3,3,3.0,7.165000000000006
364.7275,364.725,364.73,2,1,7,7,7.0,0.0049999999999954525
358.24142857142857,356.73,360.155,7,2,7,7,7.0,3.4249999999999545
396.15250000000003,396.11,396.195,2,1,8,8,8.0,0.08499999999997954
113.252,109.895,114.76,15,3,3,3,3.0,4.865000000000009
101.54020833333334,97.815,104.81,24,4,3,3,3.0,6.9950000000000045
134.12057692307692,127.95,140.98,26,1,4,4,4.0,13.029999999999987
239.25566666666666,216.11,267.55,30,5,6,6,6.0,51.44
332.5721666666667,307.105,346.52,30,3,7,7,7.0,39.414999999999964
871.593125,861.065,882.12,8,1,10,10,10.0,21.05499999999995
307.27666666666664,305.005,309.89,3,2,7,7,7.0,4.884999999999991
279.49,278.59,280.39,2,1,7,7,7.0,1.8000000000000114
332.85,331.95,333.75,2,1,7,7,7.0,1.8000000000000114
160.58999999999997,159.765,161.415,2,1,5,5,5.0,1.6500000000000057
129.73416666666665,127.205,133.105,6,1,4,4,4.0,5.8999999999999915
152.70000000000002,150.485,154.895,4,1,4,4,4.0,4.409999999999997
105.72836363636364,85.935,115.27,55,9,3,3,3.0,29.334999999999994
141.3265,138.485,145.145,10,1,4,4,4.0,6.659999999999997
173.3879411764706,166.12,183.31,17,2,5,5,5.0,17.189999999999998
231.70626865671642,212.105,261.84,67,10,6,6,6.0,49.734999999999985
350.07712962962967,340.105,359.295,54,8,7,7,7.0,19.189999999999998
294.795,290.66,299.845,6,3,7,7,7.0,9.185000000000002
305.57416666666666,126.145,626.47,12,4,4,9,6.083333333333333,500.32500000000005
293.4225,292.485,294.36,2,1,7,7,7.0,1.875
177.25,177.24,177.26,2,1,5,5,5.0,0.01999999999998181
219.97,219.55,220.39,2,1,6,6,6.0,0.839999999999975
193.3,193.295,193.305,2,1,5,5,5.0,0.010000000000019327
109.88833333333332,109.58,110.5,3,1,3,3,3.0,0.9200000000000017
322.6485714285714,320.795,325.125,7,3,7,7,7.0,4.329999999999984
107.69326086956522,99.4,115.28,23,3,3,3,3.0,15.879999999999995
189.925,172.675,203.41,20,4,5,5,5.0,30.734999999999985
235.89295454545456,223.125,257.0,44,5,6,6,6.0,33.875
335.058,332.795,337.035,5,3,7,7,7.0,4.240000000000009
608.4833333333333,607.17,609.95,6,1,9,9,9.0,2.7800000000000864
390.3775,389.675,391.08,4,1,8,8,8.0,1.4049999999999727
145.4425,143.0,147.895,4,2,4,4,4.0,4.89500000000001
355.81666666666666,354.495,356.49,3,1,7,7,7.0,1.9950000000000045
282.32416666666666,279.495,288.15,6,2,7,7,7.0,8.654999999999973
133.395,130.885,135.895,4,2,4,4,4.0,5.010000000000019
244.63,241.595,248.5,6,4,6,6,6.0,6.905000000000001
293.89,293.885,293.895,2,1,7,7,7.0,0.009999999999990905
88.67125,85.435,92.475,8,3,3,3,3.0,7.039999999999992
104.08076923076922,97.435,114.125,13,4,3,3,3.0,16.689999999999998
186.83095238095237,160.01,209.98,21,1,5,5,5.0,49.97
228.61319444444447,216.11,261.03,36,10,6,6,6.0,44.91999999999996
338.7963953488372,321.215,348.1,43,7,7,7,7.0,26.885000000000048
169.3525,164.265,174.44,2,1,5,5,5.0,10.175000000000011
97.52414893617022,85.87,113.725,47,7,3,3,3.0,27.85499999999999
140.2825,126.705,146.97,14,4,4,4,4.0,20.265
199.2425,191.215,207.375,8,1,5,5,5.0,16.159999999999997
226.6123125,211.21,247.0,80,16,6,6,6.0,35.78999999999999
325.57485294117646,283.325,349.065,34,5,7,7,7.0,65.74000000000001
172.7775,170.875,174.68,2,1,5,5,5.0,3.805000000000007
363.39,362.705,364.075,2,1,7,7,7.0,1.3700000000000045
87.7475,85.655,89.285,4,2,3,3,3.0,3.6299999999999955
97.27687499999999,94.315,102.1,8,4,3,3,3.0,7.784999999999997
110.435625,106.26,114.1,8,4,3,3,3.0,7.839999999999989
350.36500000000007,347.675,351.74,7,3,7,7,7.0,4.064999999999998
186.11375,185.615,186.595,4,1,5,5,5.0,0.9799999999999898
245.0771590909091,217.07,262.99,132,13,6,6,6.0,45.920000000000016
338.5,337.005,340.69,5,3,7,7,7.0,3.6850000000000023
288.87,288.87,288.87,1,1,7,7,7.0,0.0
94.52379310344828,85.025,106.905,29,3,3,3,3.0,21.879999999999995
138.24875,131.39,145.075,8,2,4,4,4.0,13.685000000000002
186.93824999999998,163.305,209.265,20,2,5,5,5.0,45.95999999999998
242.4792857142857,225.775,263.175,7,2,6,6,6.0,37.400000000000006
351.75416666666666,316.95,372.67,12,3,7,7,7.0,55.72000000000003
372.52,372.395,372.645,2,1,7,7,7.0,0.25
694.965,691.99,697.94,2,1,9,9,9.0,5.9500000000000455
611.54,611.54,611.54,1,1,9,9,9.0,0.0
710.3775,708.775,711.98,2,1,9,9,9.0,3.205000000000041
316.29,312.41,322.1,8,4,7,7,7.0,9.689999999999998
624.0033333333333,621.13,625.91,3,1,9,9,9.0,4.779999999999973
132.305,131.615,133.395,4,1,4,4,4.0,1.7800000000000011
99.97582733812949,84.73,113.49,139,16,3,3,3.0,28.75999999999999
150.99075,142.9,160.2,60,6,4,4,4.0,17.299999999999983
